school_name,rank,professor_name,department,faculty_url,lab_url,source_type,notes,research_description,research_tags,recent_work_cues,ra_opportunity_cues,advising_cues,uncertainty_flags
Brown University,52,Adriana Schulz,Brown University Department of Computer Science,https://www.computationaldesign.group/adriana,https://www.computationaldesign.group/adriana,lab_page,areas=vision; verified_by=lab_page+school_name_on_page,My research group creates design tools and systems that will revolutionize how we build physical artifacts.,machine learning,Adriana Schulz | Computational Design Group Computational Design Group CDG Publications Team News Courses Publications Team News Courses Associate Professor Brown University adriana_schulz [at] brown.edu Adriana Schulz I am an Associate Professor of Computer Science at Brown University and a member of the Brown... || I am honored to receive the 2024 ACM SIGGRAPH Significant New Researcher Award .,UNKNOWN,"View my Publications, News, and more Info for Prospective Students Teaching Fall 2019: Computational Fabrication ( CSE 556 ) Spring 2019: Reseach Seminar: Geometry Processing ( CSE 590-K ) Winter 2019: Special Topics in Computational Fabrication ( CSE 599-J1 ) Fall 2018: Computational Fabrication ( CSE 556 ) Bio I...",missing_ra_opportunity_cues
Brown University,52,Amy Greenwald,Brown University Department of Computer Science,http://cs.brown.edu/~amygreen,,faculty_page,"areas=ai,mlmining; verified_by=official_domain",UNKNOWN,artificial intelligence; reinforcement learning,UNKNOWN,UNKNOWN,UNKNOWN,missing_research_description; missing_recent_work_cues; missing_ra_opportunity_cues; missing_advising_cues
Brown University,52,Eli Upfal,Brown University Department of Computer Science,https://cs.brown.edu/people/eli,,faculty_page,"areas=ai,bio,mlmining; verified_by=official_domain",My research focuses on the design and analysis of algorithms.,computational biology,UNKNOWN,UNKNOWN,UNKNOWN,missing_recent_work_cues; missing_ra_opportunity_cues; missing_advising_cues
Brown University,52,Ellie Pavlick,Brown University Department of Computer Science,https://cs.brown.edu/people/epavlick/index.html,,faculty_page,"areas=mlmining,nlp; verified_by=official_domain","My lab's projects focus on language broadly construed, and often includes the study of capacities more general than language, including conceptual representations, reasoning, learning, and generalization.",artificial intelligence; language models,UNKNOWN,UNKNOWN,UNKNOWN,missing_recent_work_cues; missing_ra_opportunity_cues; missing_advising_cues
Brown University,52,Gabriel Taubin,Brown University Department of Computer Science,http://mesh.brown.edu/taubin,,faculty_page,areas=vision; verified_by=official_domain,UNKNOWN,computer vision,UNKNOWN,UNKNOWN,UNKNOWN,missing_research_description; missing_recent_work_cues; missing_ra_opportunity_cues; missing_advising_cues
Brown University,52,George Dimitri Konidaris,Brown University Department of Computer Science,http://cs.brown.edu/people/gdk,,faculty_page,"areas=ai,mlmining,nlp; verified_by=official_domain","Realtime Robotics commercializes our research on robot motion planning to make robotic automation simpler, better, and faster.",artificial intelligence; machine learning; robotics; reinforcement learning,Recent News: I have joined Duke University as an Assistant Professor of Computer Science and Electrical and Computer Engineering ! || --> Teaching I am currently teaching: CSCI 1952D: Intelligent Robotics (Spring 2026) CSCI 2951X: Reintegrating AI (Spring 2026) I have previously taught the following classes at Brown: CSCI 2951X: Reintegrating AI (Spring 2025) CSCI 2951X: Reintegrating AI (Spring 2024) CSCI 2951X: Reintegrating AI (Spring 2023)...,UNKNOWN,UNKNOWN,missing_ra_opportunity_cues; missing_advising_cues
Brown University,52,Michael L. Littman,Brown University Department of Computer Science,http://cs.brown.edu/~mlittman,,faculty_page,"areas=ai,mlmining,nlp; verified_by=official_domain",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,missing_research_description; missing_research_tags; missing_recent_work_cues; missing_ra_opportunity_cues; missing_advising_cues
Brown University,52,Nora Ayanian,Brown University Department of Computer Science,https://vivo.brown.edu/display/nayanian,,faculty_page,areas=ai; verified_by=official_domain,"Ayanian's research focuses on creating end-to-end solutions for coordinating teams of robots that start from high-level specifications and deliver code for individual robots in the team, such as using simple multitouch inputs to control a team of UAVs.",artificial intelligence; robotics,UNKNOWN,UNKNOWN,UNKNOWN,missing_recent_work_cues; missing_ra_opportunity_cues; missing_advising_cues
Brown University,52,Pedro F. Felzenszwalb,Brown University Department of Computer Science,http://cs.brown.edu/~pff,,faculty_page,"areas=mlmining,vision; verified_by=official_domain","Pedro Felzenszwalb Pedro Felipe Felzenszwalb Professor of Engineering and Computer Science Office: Barus & Holley 355 Phone: (401) 863-1531 Email: pff (at) brown.edu Office hours: Thursday 1pm-2pm in B&H 355 CV Research My main research interests are in computer vision, artificial intelligence, machine learning,...",artificial intelligence; machine learning; computer vision; natural language processing,Papers Talk slides Code PhD students and Postdocs 3D printing Teaching Fall 2022: Linear System Analysis (ENGN 1570) Spring 2023: Topics in Optimization (ENGN 2912P) Fall 2023: Linear System Analysis (ENGN 1570) Spring 2024: Pattern Recognition and Machine Learning (ENGN 25220) Person detection in the PASCAL...,UNKNOWN,Papers Talk slides Code PhD students and Postdocs 3D printing Teaching Fall 2022: Linear System Analysis (ENGN 1570) Spring 2023: Topics in Optimization (ENGN 2912P) Fall 2023: Linear System Analysis (ENGN 1570) Spring 2024: Pattern Recognition and Machine Learning (ENGN 25220) Person detection in the PASCAL...,missing_ra_opportunity_cues
Brown University,52,Philip N. Klein,Brown University Department of Computer Science,http://cs.brown.edu/~pnk,,faculty_page,areas=vision; verified_by=official_domain,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,missing_research_description; missing_research_tags; missing_recent_work_cues; missing_ra_opportunity_cues; missing_advising_cues
