school_name,rank,professor_name,department,faculty_url,lab_url,source_type,notes
Brown University,52,Adriana Schulz,Brown University Department of Computer Science,https://www.computationaldesign.group/adriana,https://www.computationaldesign.group/adriana,lab_page,areas=vision; verified_by=lab_page+school_name_on_page
Brown University,52,Amy Greenwald,Brown University Department of Computer Science,http://cs.brown.edu/~amygreen,,faculty_page,"areas=ai,mlmining; verified_by=official_domain"
Brown University,52,Eli Upfal,Brown University Department of Computer Science,https://cs.brown.edu/people/eli,,faculty_page,"areas=ai,bio,mlmining; verified_by=official_domain"
Brown University,52,Ellie Pavlick,Brown University Department of Computer Science,https://cs.brown.edu/people/epavlick/index.html,,faculty_page,"areas=mlmining,nlp; verified_by=official_domain"
Brown University,52,Gabriel Taubin,Brown University Department of Computer Science,http://mesh.brown.edu/taubin,,faculty_page,areas=vision; verified_by=official_domain
Brown University,52,George Dimitri Konidaris,Brown University Department of Computer Science,http://cs.brown.edu/people/gdk,,faculty_page,"areas=ai,mlmining,nlp; verified_by=official_domain"
Brown University,52,Michael L. Littman,Brown University Department of Computer Science,http://cs.brown.edu/~mlittman,,faculty_page,"areas=ai,mlmining,nlp; verified_by=official_domain"
Brown University,52,Nora Ayanian,Brown University Department of Computer Science,https://vivo.brown.edu/display/nayanian,,faculty_page,areas=ai; verified_by=official_domain
Brown University,52,Pedro F. Felzenszwalb,Brown University Department of Computer Science,http://cs.brown.edu/~pff,,faculty_page,"areas=mlmining,vision; verified_by=official_domain"
Brown University,52,Philip N. Klein,Brown University Department of Computer Science,http://cs.brown.edu/~pnk,,faculty_page,areas=vision; verified_by=official_domain
Brown University,52,Sherief Reda,Brown University Department of Computer Science,https://scale-lab.github.io/pages/sreda.html,https://scale-lab.github.io/pages/sreda.html,lab_page,"areas=bio,vision; verified_by=lab_page+school_name_on_page"
Brown University,52,Sorin Istrail,Brown University Department of Computer Science,http://www.brown.edu/Research/Istrail_Lab/sorin.php,,faculty_page,areas=bio; verified_by=official_domain
Brown University,52,Srinath Sridhar 0002,Brown University Department of Computer Science,https://cs.brown.edu/people/ssrinath,,faculty_page,"areas=mlmining,vision; verified_by=official_domain"
Brown University,52,Stefanie Tellex,Brown University Department of Computer Science,https://cs.brown.edu/people/stellex,,faculty_page,"areas=ai,mlmining,vision; verified_by=official_domain"
Brown University,52,Stephen H. Bach,Brown University Department of Computer Science,https://cs.brown.edu/people/sbach,,faculty_page,"areas=ai,mlmining,nlp; verified_by=official_domain"
Brown University,52,Suresh Venkatasubramanian,Brown University Department of Computer Science,https://vivo.brown.edu/display/suresh,,faculty_page,"areas=ai,mlmining,nlp,vision; verified_by=official_domain"
Brown University,52,Thomas Serre,Brown University Department of Computer Science,https://serre-lab.clps.brown.edu/person/thomas-serre,,faculty_page,"areas=mlmining,vision; verified_by=official_domain"
Brown University,52,Yu Cheng 0002,Brown University Department of Computer Science,http://cs.brown.edu/people/ycheng79,,faculty_page,"areas=ai,mlmining; verified_by=official_domain"
Oregon State University,53,Alan Fern,Electrical Engineering and Computer Science | College of Engineering,http://eecs.oregonstate.edu/~afern,,faculty_page,"areas=ai,mlmining,vision; verified_by=official_domain"
Oregon State University,53,Alan Wang,Electrical Engineering and Computer Science | College of Engineering,http://eecs.oregonstate.edu/people/wang-alan,,faculty_page,areas=mlmining; verified_by=official_domain
Oregon State University,53,Amir Nayyeri,Electrical Engineering and Computer Science | College of Engineering,https://web.engr.oregonstate.edu/~nayyeria,,faculty_page,areas=mlmining; verified_by=official_domain
Oregon State University,53,Ben Lee,Electrical Engineering and Computer Science | College of Engineering,http://web.engr.oregonstate.edu/~benl/Ben_Lee/Welcome.html,,faculty_page,areas=mlmining; verified_by=official_domain
Oregon State University,53,Cindy Grimm,Electrical Engineering and Computer Science | College of Engineering,http://web.engr.oregonstate.edu/~grimmc,,faculty_page,areas=ai; verified_by=official_domain
Oregon State University,53,Eugene Zhang,Electrical Engineering and Computer Science | College of Engineering,http://web.engr.oregonstate.edu/~zhange,,faculty_page,areas=vision; verified_by=official_domain
Oregon State University,53,Fuxin Li,Electrical Engineering and Computer Science | College of Engineering,http://eecs.oregonstate.edu/people/li-fuxin,,faculty_page,"areas=ai,mlmining,vision; verified_by=official_domain"
Oregon State University,53,Glencora Borradaile,Electrical Engineering and Computer Science | College of Engineering,http://eecs.oregonstate.edu/people/borradaile-glencora,,faculty_page,areas=mlmining; verified_by=official_domain
Oregon State University,53,Julie A. Adams,Electrical Engineering and Computer Science | College of Engineering,http://eecs.oregonstate.edu/people/adams-julie,,faculty_page,areas=ai; verified_by=official_domain
Oregon State University,53,Liang Huang 0001,Electrical Engineering and Computer Science | College of Engineering,http://eecs.oregonstate.edu/~huanlian,,faculty_page,"areas=bio,mlmining,nlp; verified_by=official_domain"
Oregon State University,53,Lizhong Chen,Electrical Engineering and Computer Science | College of Engineering,http://web.engr.oregonstate.edu/~chenliz,,faculty_page,"areas=mlmining,nlp; verified_by=official_domain"
Oregon State University,53,Margaret M. Burnett,Electrical Engineering and Computer Science | College of Engineering,http://eecs.oregonstate.edu/~burnett,,faculty_page,areas=ai; verified_by=official_domain
Oregon State University,53,Prasad Tadepalli,Electrical Engineering and Computer Science | College of Engineering,http://eecs.oregonstate.edu/~tadepall,,faculty_page,"areas=ai,mlmining,nlp; verified_by=official_domain"
Oregon State University,53,Rakesh Bobba,Electrical Engineering and Computer Science | College of Engineering,http://eecs.oregonstate.edu/people/bobba-rakesh,,faculty_page,areas=mlmining; verified_by=official_domain
Oregon State University,53,Raviv Raich,Electrical Engineering and Computer Science | College of Engineering,http://web.engr.oregonstate.edu/~raich,,faculty_page,"areas=ai,mlmining; verified_by=official_domain"
Oregon State University,53,Rebecca A. Hutchinson,Electrical Engineering and Computer Science | College of Engineering,http://web.engr.oregonstate.edu/~rah,,faculty_page,"areas=ai,mlmining; verified_by=official_domain"
Oregon State University,53,Sinisa Todorovic,Electrical Engineering and Computer Science | College of Engineering,http://web.engr.oregonstate.edu/~sinisa,,faculty_page,"areas=mlmining,vision; verified_by=official_domain"
Oregon State University,53,Stefan Lee,Electrical Engineering and Computer Science | College of Engineering,http://web.engr.oregonstate.edu/~leestef,,faculty_page,"areas=ai,mlmining,nlp,vision; verified_by=official_domain"
Oregon State University,53,Weng-Keen Wong,Electrical Engineering and Computer Science | College of Engineering,http://eecs.oregonstate.edu/people/wong-weng-keen,,faculty_page,"areas=ai,bio,mlmining,vision; verified_by=official_domain"
Oregon State University,53,Xiao Fu 0001,Electrical Engineering and Computer Science | College of Engineering,http://people.oregonstate.edu/~fuxia,,faculty_page,"areas=ai,mlmining; verified_by=official_domain"
Oregon State University,53,Xiaoli Z. Fern,Electrical Engineering and Computer Science | College of Engineering,http://web.engr.oregonstate.edu/~xfern,,faculty_page,"areas=ai,mlmining,nlp,vision; verified_by=official_domain"
University of Central Florida,53,Abhijit Mahalanobis,Home | UCF Department of Computer Science,https://www.crcv.ucf.edu/person/abhijit-mahalanobis,,faculty_page,areas=vision; verified_by=official_domain
University of Central Florida,53,Amrit Singh Bedi,Home | UCF Department of Computer Science,https://www.cecs.ucf.edu/faculty/21197,,faculty_page,"areas=ai,mlmining,vision; verified_by=official_domain"
University of Central Florida,53,Annie S. Wu,Home | UCF Department of Computer Science,http://www.cs.ucf.edu/~aswu,,faculty_page,areas=ai; verified_by=official_domain
